,url,,雪,祭,緑,田舎,都市,水,火,伝統,動物,夜,神社,寺,島,城,温泉,食
たこ焼き,https://youtu.be/SdEsUKnyZi4,,,,,,,,,,,,,,,,,⚪︎
新宿御苑,https://youtu.be/uA3mjOvNIQQ,2020/11/27,,,⚪︎,,,,,,,,,,,,,
熱海,https://youtu.be/VTAUaQt7TXY,2021/03/22,,,,,,⚪︎,,,,,,,,,,
秦野七福神,https://youtu.be/zvYK5c8p-5k,21/3/29,,,,⚪︎,,,,,,,⚪︎,,,,,
白川郷,https://youtu.be/QioL35P-9d4,2021/04/05,⚪︎,,,,,,,,,,,,,,,
飛騨,https://youtu.be/WRIIiUD1K9c,2021/04/12,,,,⚪︎,,,,⚪︎,,,,,,,,
江ノ島,https://youtu.be/e6wi6bQGRaE,21/4/19,,,,,,⚪︎,,,,,,,⚪︎,,,
新宿,https://youtu.be/atTMue-v0mc,21/4/26,,,,,⚪︎,,,,,,,,,,,
吉祥寺,https://youtu.be/3rgKMTNA1mo,21/5/3,,,⚪︎,,,,,,,,,,,,,
東京タワー　鯉のぼり,https://youtu.be/86C9YM8ja4Y,21/5/10,,⚪︎,,,⚪︎,,,⚪︎,,,,,,,,
濃溝の滝,https://youtu.be/PLcQqL5JI0M,21/5/17,,,,,,⚪︎,,,,,,,,,,
あしかがフラワーパーク,https://youtu.be/aJuAUSnav1A,21/5/24,,,⚪︎,,,,,,,,,,,,,
松山城　道後,https://youtu.be/Z3l3eUQfC0I,21/5/24,,,,⚪︎,,,,⚪︎,,,,,,⚪︎,,
下灘,https://youtu.be/MCABVTPkC78,21/6/7,,,,⚪︎,,⚪︎,,,,,,,,,,
青島,https://youtu.be/INPt_83Dheg,21/6/14,,,,⚪︎,,,,,⚪︎,,⚪︎,,⚪︎,,,
女木島,https://youtu.be/3oO0iZSgSTc,21/6/21,,,,⚪︎,,⚪︎,,,,,,,⚪︎,,,
男木島,https://youtu.be/j7H_mmoy56Y,21/6/28,,,,⚪︎,,⚪︎,,,,,,,⚪︎,,,
浅草,https://youtu.be/oXJXVeU_Ytc,21/7/5,,,,,⚪︎,,,⚪︎,,,,,,,,
恐山,https://youtu.be/L6GZz6i9zMY,21/7/12,,,,⚪︎,,,,,,,,,,,,
白神山地,https://youtu.be/q7P5j_5MG-M,21/7/19,,,⚪︎,⚪︎,,,,,,,,,,,,
蔵王キツネ村,https://youtu.be/QMQn8rY5HvY,21/7/26,,,,⚪︎,,,,,⚪︎,,,,,,,
箱根,https://youtu.be/JQCljtg8VYY,21/8/2,,,⚪︎,,,⚪︎,,,,,,,,,,
風鈴祭り,https://youtu.be/HMbFlh2qPMg,21/8/9,,⚪︎,,,,,,⚪︎,,,,,,,,
万等祭り,https://youtu.be/PmNjKnZe4Ek,2021/08/16,,⚪︎,,,,,,,,,,,,,,
貴船神社　晴明神社,https://youtu.be/8rwdEW2bDak,21/8/23,,,,,,,,⚪︎,,,⚪︎,,,,,
宵宮祭,https://youtu.be/Ea7QiWiEMl0,21/8/30,,⚪︎,,,,,,,,⚪︎,⚪︎,,,,,
嵐山,https://youtu.be/E3DNozSUKlQ,21/9/5,,,⚪︎,,,,,⚪︎,,,,,,,,
苔寺,https://youtu.be/A4Rc-0Cee7Q,21/9/13,,,⚪︎,,,,,⚪︎,,,,,,,,
伊勢,https://youtu.be/bYy-MfhXMPE,21/9/20,,,,,,,,⚪︎,,,⚪︎,,,,,
上高地,https://youtu.be/dI3PWV_5dAQ,21/9/27,,,⚪︎,⚪︎,,⚪︎,,,,,,,,,,
川崎工場夜景,https://youtu.be/QD2lp2aECsY,21/10/4,,,,,⚪︎,,,,,⚪︎,,,,,,
鍋割山,https://youtu.be/3F6348MCB78,21/10/11,,,⚪︎,,,,,,,,,,,,,
佐渡島,https://youtu.be/uy25zlslxCA,21/10/18,,,⚪︎,⚪︎,,⚪︎,,⚪︎,,,,,⚪︎,,,
太宰府　宮地嶽,https://youtu.be/us3tl8_ZOUk,21/10/25,,,,,,,,⚪︎,,,⚪︎,,,,,
別府地獄,https://youtu.be/XadIpr_PtTI,21/11/1,,,,,,⚪︎,,⚪︎,,,,,,,,
瑠璃光院,https://youtu.be/9FzprOUv29A,21/11/8,,,,,,⚪︎,,⚪︎,,,,,,,,
比叡山,https://youtu.be/zAeHecH9DlI,21/11/15,,,⚪︎,,,⚪︎,,⚪︎,,,,,,,,
建仁寺,https://youtu.be/y6WOD75RJRc,21/11/22,,,,,,,,,,,,,,,,
金閣寺　銀閣寺,https://youtu.be/O4YGNrT5JtM,21/11/29,,,,,,,,,,,,,,,,
出雲,https://youtu.be/cgXwita5FJE,21/12/6,,,,,,⚪︎,,⚪︎,,,,,,,,
大久野島,https://youtu.be/ErNSr_GLjRQ,21/12/13,,,,⚪︎,,,,,,,,,⚪︎,,,
竹田城,https://youtu.be/6Ej_Kx-58_U,21/12/20,,,,,,,,,,,,,,⚪︎,,
清里,https://youtu.be/Wv5QHcrVO5I,21/12/27,,,,⚪︎,,,,,,,,,,,,
高尾山,https://youtu.be/_YO-a28s4pk,22/1/3,,,⚪︎,,,,,,,,,,,,,
地獄谷,https://youtu.be/wtNQtlxjdaY,22/1/10,⚪︎,,,,,,,,⚪︎,,,,,,,
美瑛,https://youtu.be/UX06qQfDQtU,22/1/17,⚪︎,,,,,,,,,,,,,,,
青い池,https://youtu.be/R7_I19oePKg,22/1/24,⚪︎,,,,,⚪︎,,,,,,,,,,
旭山動物園,https://youtu.be/NOmum_g7MNk,22/1/31,,,,,,,,,⚪︎,,,,,,,
寿司,https://youtu.be/DmaUy5fsngY,22/2/7,,,,,,,,,,,,,,,,
草津,https://youtu.be/DX_AD34NeMQ,22/2/14,,,,,,⚪︎,,⚪︎,,,,,,,,
お好み焼き,https://youtu.be/Wtan6ys9csI,22/2/21,,,,,,,,,,,,,,,,⚪︎
もんじゃ,https://youtu.be/7yj2ZEzKaqw,22/2/28,,,,,,,,,,,,,,,,⚪︎
蔵王,https://youtu.be/pDBsyPxLnOA,22/3/7,⚪︎,,,,,,,,,,,,,,,
山寺,https://youtu.be/nfgvgUkO1xQ,22/3/14,⚪︎,,,,,,,,,,,,,,,
団子,https://youtu.be/VUw28Fh01iY,22/3/21,,,,,,,,,,,,,,,,⚪︎
ねぶた,https://youtu.be/2d-09dGBfQ0,22/8/29,,⚪︎,,,,,,,,,,,,,,
仙台七夕,https://youtu.be/wPCyTfh-d-s,22/9/19,,⚪︎,,,,,,,,,,,,,,
戸隠,https://youtu.be/RM0t50yhpJE,22/10/3,,,⚪︎,,,,,,,,,,,,,
奈良井宿,https://youtu.be/r79YeEIqlaM,22/10/10,,,,⚪︎,,,,,,,,,,,,
巾着田,https://youtu.be/0ZJuSAcvl-w,22/10/17,,,⚪︎,,,,,,,,,,,,,
日光,https://youtu.be/_uqmnjlodVs,22/11/21,,,,⚪︎,,,,,,,,,,,,
長崎ランタン,https://youtu.be/q5SqJLNlgc0,23/4/17,,⚪︎,,,,,,,,,,,,,,
軍艦島,https://youtu.be/WQIy-yRPPBo,23/4/24,,,,,,,,,,,,,⚪︎,,,
祇園,https://youtu.be/hBdq6Q0I1Wk,23/5/15,,,,,,,,⚪︎,,,,,,,,
賀茂神社,https://youtu.be/gxQRDy_3Yd8,23/5/22,,,⚪︎,,,,,,,,⚪︎,,,,,
愛宕神社,https://youtu.be/QNQyT-ZYFJw,23/6/12,,,⚪︎,,,,,,,,⚪︎,,,,,
弘前　桜まつり,https://youtu.be/p7kNcvxJmZM,23/7/3,,,⚪︎,,,,,,,,,,,⚪︎,,
浜松祭り,https://youtu.be/SB4DHGw4n1I,23/7/24,,,,,,,,⚪︎,,,,,,,,
那智火祭り,https://youtu.be/9rxfq3aqfgE,23/8/7,,,,,,,⚪︎,,,,,,,,,
奈良鹿寄せ,https://youtu.be/QL7mXyAPkKk,23/8/28,,,,,,,,,⚪︎,,,,,,,
梨花,https://youtu.be/VMlVMPxUVCQ,23/9/18,,,,,,,,,,,,,,,,
北村韓屋,https://youtu.be/rD8VCxCLNLM,23/10/2,,,,,,,,⚪︎,,,,,,,,
きょんぼっくん,https://youtu.be/bZQ8UWvoKlM,23/10/16,,,,,,,,⚪︎,,,,,,,,
水原,https://youtu.be/h16BGVpDKuo,23/10/30,,,,,,,,,,,,,,⚪︎,,
関ヶ原,https://youtu.be/OKKOq9iJNLI,23/11/27,,⚪︎,,,,,,,,,,,,,,
長良川　鵜飼,https://youtu.be/syleYnxEoIQ,23/12/25,,,,,,,,,⚪︎,,,,,,,
東京コミコン,https://youtu.be/7V_7Oqn8c_U,24/1/22,,⚪︎,,,,,,,,,,,,,,
台北　九分　,https://youtu.be/zuw-Hk2K16Y,24/4/1,,,,,,,,,,,,,,,,
台南　ランタン,https://youtu.be/GdfGFcXGPdI,24/4/29,,⚪︎,,,,,,,,,,,,,,
香港　寺,https://youtu.be/hho6C40-tQE,24/5/27,,,,,,,,⚪︎,,,,⚪︎,,,,
インド　ガンジス川,https://youtu.be/LuymyTsP-Gk,24/6/24,,,,,,⚪︎,,,,,,,,,,
仏教ロータス祭り,https://youtu.be/c9vSEM0-aa0,24/7/22,,⚪︎,,,,,,,,,,,,,,
高千穂,https://youtu.be/-v8COUrSykk,24/8/14,,,⚪︎,,,,,,,,,,,,,
御手洗祭り,https://youtu.be/Ek7WH_K45oU,24/9/2,,⚪︎,,,,,,,,,⚪︎,,,,,
祇園祭,https://youtu.be/uZLISHWsOio,24/9/16,,⚪︎,,,,,,,,⚪︎,⚪︎,,,,,
青森ねぶた,https://youtu.be/yAmDhLfl9X0,24/9/30,,⚪︎,,,,,,,,⚪︎,,,,,,
竿燈祭り,https://youtu.be/6ABA_CXOEik,24/10/14,,⚪︎,,,,,,,,⚪︎,,,,,,
岩手さんさ,https://youtu.be/0bgVWNfbXG0,24/11/4,,⚪︎,,,,,,,,,,,,,,
支笏湖,https://youtu.be/icHLl1bQuS8,25/2/10,⚪︎,⚪︎,,,,,,,,,,,,,,
さっぽろ雪まつり,https://youtu.be/_kv9emx4a5U,25/2/24,⚪︎,⚪︎,,,,,,,,,,,,,,
鶴居村,https://youtu.be/OpX-mVPVBVE,25/3/10,⚪︎,,,,,,,,⚪︎,,,,,,,
飛騨高山祭,https://youtu.be/C0kjHkhuHgQ,25/4/21,,⚪︎,,,,,,,,,,,,,,
平安神宮祭り,https://youtu.be/_s4NX9MmDnk,25/5/5,,⚪︎,,,,,,,,,,,,,,
よさこい祭り,https://youtu.be/r2Y55e9_uvM,25/8/18,,⚪︎,,,,,,,,,,,,,,
阿波踊り,https://youtu.be/9O1WXw8uIFc,25/9/1,,⚪︎,,,,,,,,,,,,,,
時代祭,https://youtu.be/19r367HNBgo,25/11/10,,,,,,,,,,,,,,,,
鞍馬火祭り,https://youtu.be/RcRo_zyAXXU,26/2/2,,,,,,,,,,,,,,,,
